packet_id,packet_md_path,packet_json_path,row_index,article_id,title,periodical,issue_id,language,article_type,review_text_chars,review_strategy,n_trigger_windows,retrieval_hint_codes,packet_article_position
chat_packet_009,chat_annotation_packets_jaleo/packets/chat_packet_009.md,chat_annotation_packets_jaleo/packets/chat_packet_009.json,40,JALEO_1978_02::A3,PUNTO DE VISTA,jaleo,JALEO_1978_02,en,other,2506,full,0,,1
chat_packet_009,chat_annotation_packets_jaleo/packets/chat_packet_009.md,chat_annotation_packets_jaleo/packets/chat_packet_009.json,41,JALEO_1978_02::A4,UNIQUE DANCE CLASSES,jaleo,JALEO_1978_02,en,other,1046,full,0,,2
chat_packet_009,chat_annotation_packets_jaleo/packets/chat_packet_009.md,chat_annotation_packets_jaleo/packets/chat_packet_009.json,42,JALEO_1978_02::A5,ALEGRIAS,jaleo,JALEO_1978_02,en,other,2833,head_tail_windows,1,PED_02,3
chat_packet_009,chat_annotation_packets_jaleo/packets/chat_packet_009.md,chat_annotation_packets_jaleo/packets/chat_packet_009.json,43,JALEO_1978_02::A6,LA LUZ ,jaleo,JALEO_1978_02,en,other,2141,full,0,,4
chat_packet_009,chat_annotation_packets_jaleo/packets/chat_packet_009.md,chat_annotation_packets_jaleo/packets/chat_packet_009.json,44,JALEO_1978_02::A7,Ballet Nacional Festivales de España,jaleo,JALEO_1978_02,en,other,3421,full,0,,5
chat_packet_010,chat_annotation_packets_jaleo/packets/chat_packet_010.md,chat_annotation_packets_jaleo/packets/chat_packet_010.json,45,JALEO_1978_02::A8,ENRIQUE DE MELCHOR,jaleo,JALEO_1978_02,en,other,2467,full,0,,1
chat_packet_010,chat_annotation_packets_jaleo/packets/chat_packet_010.md,chat_annotation_packets_jaleo/packets/chat_packet_010.json,46,JALEO_1978_02::A9,ADIOS!,jaleo,JALEO_1978_02,en,other,2816,full,0,,2
chat_packet_010,chat_annotation_packets_jaleo/packets/chat_packet_010.md,chat_annotation_packets_jaleo/packets/chat_packet_010.json,47,JALEO_1978_02::A11,Tortilla De Patata,jaleo,JALEO_1978_02,en,other,872,full,0,,3
chat_packet_010,chat_annotation_packets_jaleo/packets/chat_packet_010.md,chat_annotation_packets_jaleo/packets/chat_packet_010.json,48,JALEO_1978_02::A12,EL OIDO,jaleo,JALEO_1978_02,en,other,495,full,0,,4
chat_packet_010,chat_annotation_packets_jaleo/packets/chat_packet_010.md,chat_annotation_packets_jaleo/packets/chat_packet_010.json,49,JALEO_1978_02::A13,ALEGRIAS,jaleo,JALEO_1978_02,en,other,2191,full,0,,5
chat_packet_011,chat_annotation_packets_jaleo/packets/chat_packet_011.md,chat_annotation_packets_jaleo/packets/chat_packet_011.json,50,JALEO_1978_02::A14,FLAMENCO MUSIC IN PRINT,jaleo,JALEO_1978_02,en,other,4427,full,0,,1
chat_packet_011,chat_annotation_packets_jaleo/packets/chat_packet_011.md,chat_annotation_packets_jaleo/packets/chat_packet_011.json,51,JALEO_1978_02::A15,MARCH JUERGA,jaleo,JALEO_1978_02,en,other,699,full,0,,2
chat_packet_011,chat_annotation_packets_jaleo/packets/chat_packet_011.md,chat_annotation_packets_jaleo/packets/chat_packet_011.json,52,JALEO_1978_03::A1,FEBRUARY JUERGA,jaleo,JALEO_1978_03,en,other,3918,full,0,,3
chat_packet_011,chat_annotation_packets_jaleo/packets/chat_packet_011.md,chat_annotation_packets_jaleo/packets/chat_packet_011.json,53,JALEO_1978_03::A2,LETTERS,jaleo,JALEO_1978_03,en,other,1574,full,0,,4
chat_packet_011,chat_annotation_packets_jaleo/packets/chat_packet_011.md,chat_annotation_packets_jaleo/packets/chat_packet_011.json,54,JALEO_1978_03::A3,PUNTO DE VISTA,jaleo,JALEO_1978_03,en,other,2506,full,0,,5
chat_packet_012,chat_annotation_packets_jaleo/packets/chat_packet_012.md,chat_annotation_packets_jaleo/packets/chat_packet_012.json,55,JALEO_1978_03::A4,UNIQUE DANCE CLASSES,jaleo,JALEO_1978_03,en,other,1046,full,0,,1
chat_packet_012,chat_annotation_packets_jaleo/packets/chat_packet_012.md,chat_annotation_packets_jaleo/packets/chat_packet_012.json,56,JALEO_1978_03::A5,ALEGRIAS,jaleo,JALEO_1978_03,en,other,2833,head_tail_windows,1,PED_02,2
chat_packet_012,chat_annotation_packets_jaleo/packets/chat_packet_012.md,chat_annotation_packets_jaleo/packets/chat_packet_012.json,57,JALEO_1978_03::A6,LA LUZ ,jaleo,JALEO_1978_03,en,other,2141,full,0,,3
chat_packet_012,chat_annotation_packets_jaleo/packets/chat_packet_012.md,chat_annotation_packets_jaleo/packets/chat_packet_012.json,58,JALEO_1978_03::A7,Ballet Nacional Festivales de España,jaleo,JALEO_1978_03,en,other,3421,full,0,,4
chat_packet_012,chat_annotation_packets_jaleo/packets/chat_packet_012.md,chat_annotation_packets_jaleo/packets/chat_packet_012.json,59,JALEO_1978_03::A8,ENRIQUE DE MELCHOR,jaleo,JALEO_1978_03,en,other,1100,full,0,,5
chat_packet_013,chat_annotation_packets_jaleo/packets/chat_packet_013.md,chat_annotation_packets_jaleo/packets/chat_packet_013.json,60,JALEO_1978_03::A9,ADIOS!,jaleo,JALEO_1978_03,en,other,2816,full,0,,1
